Location Name,Latitude,Longitude,galleryUrl
"San Antonio, Texas",29.4241,-98.4936,
Montana,46.8797,-110.3626,
"Denver, Colorado",39.7392,-104.9903,/world/denver-colorado
"Paris, France",48.8566,2.3522,
"St. Petersburg, Florida",27.7676,-82.6403,
"Tampa, Florida",27.9506,-82.4572,
"Baltimore, Maryland",39.2904,-76.6122,
Washington D.C.,38.9072,-77.0369,/world/washington-dc
"Las Vegas, Nevada",36.1699,-115.1398,
"Bentonville, Arkansas",36.3729,-94.2088,
"Fayetteville, Arkansas",36.0626,-94.1574,
"Los Angeles, California",34.0522,-118.2437,
"Isla Mujeres, Mexico",21.2314,-86.7314,
"Portland, Oregon",45.5152,-122.6784,
"Yellowstone National Park, Idaho",44.4280,-110.5885,
"Cancun, Mexico",21.1619,-86.8515,
"Landivy, France",48.4667,-0.9333,
"Rome, Italy",41.9028,12.4964,
"Florence, Italy",43.7696,11.2558,
"Istanbul, Turkey",41.0082,28.9784,
"Fethiye, Turkey",36.6217,29.1164,
"Antalya, Turkey",36.8969,30.7133,
"Shkoder, Albania",42.0683,19.5126,
"Tirana, Albania",41.3275,19.8187,
"Podgorica, Montenegro",42.4304,19.2594,
"Zagreb, Croatia",45.8150,15.9819,
"Lima, Peru",-12.0464,-77.0428,
Mexico,23.6345,-102.5528,
"Vancouver, Canada",49.2827,-123.1207,
Bulgaria,42.7339,25.4858,
Macedonia,41.6086,21.7453,
Bosnia & Herzegovina,43.9159,17.6791,
Slovenia,46.1512,14.9955,
Austria,47.5162,14.5501,
Germany,51.1657,10.4515,
"Bangkok, Thailand",13.7563,100.5018,
"Chiang Mai, Thailand",18.7883,98.9853,
Vatican City,41.9029,12.4534,
"Lisbon, Portugal",38.7223,-9.1393,
"Sintra, Portugal",38.8029,-9.3817,/world/sintra-portugal
Kosovo,42.6026,20.9030,
"Leon, Spain",42.5987,-5.5671,
"Salamanca, Spain",40.9701,-5.6635,
"Madrid, Spain",40.4168,-3.7038,
"Gijon, Spain",43.5322,-5.6611,
"Astorga, Spain",42.4550,-6.0526,/world/astorga-spain
"Las Medulas, Spain",42.4536,-6.7736,
"Nuremberg, Germany",49.4521,11.0767,
"Ybbs an der Donau, Austria",48.1667,15.0833,
